day,side,entry_et,exit_et,held_s,reason,points,pnl
2026-06-23,long,14:01:30,14:02:00,30.0,jev,3.5,65.0
2026-06-23,short,14:02:00,14:02:11,11.0,stop,-5.0,-105.0
2026-06-23,long,14:02:15,14:02:16,1.3,stop,-5.0,-105.0
2026-06-23,short,14:02:30,14:02:51,21.6,target,10.0,195.0
2026-06-23,short,14:03:00,14:03:31,31.1,stop,-5.25,-110.0
2026-06-23,short,14:03:45,14:03:59,14.4,stop,-5.0,-105.0
2026-06-23,short,14:04:00,14:05:07,67.7,target,10.0,195.0
2026-06-23,short,14:05:15,14:06:06,51.7,stop,-5.0,-105.0
2026-06-23,long,14:06:15,14:06:29,13.8,stop,-5.25,-110.0
2026-06-23,short,14:06:30,14:06:31,0.8,stop,-5.0,-105.0
2026-06-23,short,14:06:45,14:07:24,39.6,target,10.0,195.0
2026-06-23,short,14:07:30,14:07:56,26.2,target,10.0,195.0
2026-06-23,short,14:08:00,14:08:02,2.2,stop,-5.0,-105.0
2026-06-23,short,14:08:15,14:08:16,1.6,stop,-5.25,-110.0
2026-06-23,long,14:08:30,14:09:09,39.0,target,10.0,195.0
2026-06-23,long,14:09:15,14:09:30,15.0,jev,-1.0,-25.0
2026-06-23,short,14:09:30,14:09:40,9.9,stop,-5.0,-105.0
2026-06-23,long,14:09:45,14:10:08,23.1,target,10.0,195.0
2026-06-23,long,14:10:15,14:11:15,59.9,jev,4.0,75.0
2026-06-23,short,14:11:15,14:11:22,7.3,stop,-5.25,-110.0
2026-06-23,long,14:11:30,14:11:32,2.2,stop,-5.0,-105.0
2026-06-23,long,14:11:45,14:12:00,15.0,jev,-1.5,-35.0
2026-06-23,short,14:12:00,14:12:02,1.8,stop,-5.0,-105.0
2026-06-23,short,14:12:15,14:12:19,4.2,stop,-5.0,-105.0
2026-06-23,long,14:12:30,14:12:32,1.9,stop,-5.0,-105.0
2026-06-23,short,14:12:45,14:13:24,38.9,stop,-5.0,-105.0
2026-06-23,long,14:13:30,14:13:35,5.5,stop,-5.0,-105.0
2026-06-23,short,14:13:45,14:14:06,21.5,stop,-5.0,-105.0
2026-06-23,long,14:14:15,14:15:00,45.0,jev,-2.75,-60.0
2026-06-23,short,14:15:00,14:15:05,4.8,stop,-5.0,-105.0
2026-06-23,long,14:15:15,14:15:38,23.0,stop,-5.0,-105.0
2026-06-23,long,14:15:45,14:16:00,15.0,jev,-0.25,-10.0
2026-06-23,short,14:16:00,14:16:02,2.7,stop,-5.0,-105.0
2026-06-23,short,14:16:15,14:16:51,36.7,target,10.0,195.0
2026-06-23,short,14:17:00,14:19:30,150.0,jev,5.0,95.0
2026-06-23,long,14:19:30,14:20:14,44.3,stop,-5.0,-105.0
2026-06-23,short,14:20:15,14:20:30,14.9,jev,-1.75,-40.0
2026-06-23,long,14:20:30,14:20:47,17.2,stop,-5.25,-110.0
2026-06-23,short,14:21:00,14:21:22,22.3,stop,-5.0,-105.0
2026-06-23,long,14:21:30,14:22:00,30.0,jev,0.5,5.0
2026-06-23,short,14:22:00,14:22:02,2.2,stop,-5.0,-105.0
2026-06-23,long,14:22:15,14:22:18,3.6,stop,-5.0,-105.0
2026-06-23,long,14:22:30,14:23:04,34.2,target,10.0,195.0
2026-06-23,long,14:23:15,14:23:17,2.6,stop,-5.0,-105.0
2026-06-23,short,14:23:30,14:24:00,30.1,jev,-2.75,-60.0
2026-06-23,long,14:24:00,14:24:15,14.8,jev,-1.0,-25.0
2026-06-23,short,14:24:15,14:24:35,20.0,target,10.0,195.0
2026-06-23,short,14:24:45,14:25:00,15.0,jev,-3.75,-80.0
2026-06-23,long,14:25:00,14:25:01,1.6,stop,-5.0,-105.0
2026-06-23,short,14:25:15,14:25:45,30.0,jev,1.5,25.0
2026-06-23,long,14:25:45,14:26:00,15.0,jev,-1.75,-40.0
2026-06-23,short,14:26:00,14:26:45,45.0,jev,-0.5,-15.0
2026-06-23,long,14:26:45,14:27:00,15.0,jev,-1.75,-40.0
2026-06-23,short,14:27:00,14:27:08,8.1,stop,-5.0,-105.0
2026-06-23,long,14:27:15,14:27:31,16.6,stop,-5.0,-105.0
2026-06-23,short,14:27:45,14:28:32,47.5,stop,-5.0,-105.0
2026-06-23,short,14:28:45,14:28:51,6.4,stop,-5.0,-105.0
2026-06-23,long,14:29:00,14:29:33,33.2,target,10.0,195.0
2026-06-23,short,14:29:45,14:30:03,17.8,target,10.0,195.0
2026-06-23,short,14:30:15,14:30:19,4.1,stop,-5.0,-105.0
2026-06-23,long,14:30:30,14:30:38,8.3,stop,-5.0,-105.0
2026-06-23,short,14:30:45,14:31:20,35.5,stop,-5.0,-105.0
2026-06-23,long,14:31:30,14:31:40,10.6,target,10.0,195.0
2026-06-23,long,14:31:45,14:31:56,11.2,stop,-5.0,-105.0
2026-06-23,short,14:32:00,14:32:06,6.2,stop,-5.0,-105.0
2026-06-23,long,14:32:15,14:32:20,5.4,stop,-5.0,-105.0
2026-06-23,short,14:32:30,14:34:30,120.0,jev,5.0,95.0
2026-06-23,long,14:34:30,14:34:31,1.0,stop,-5.0,-105.0
2026-06-23,short,14:34:45,14:35:08,23.2,stop,-5.0,-105.0
2026-06-23,long,14:35:15,14:35:24,9.0,stop,-5.25,-110.0
2026-06-23,short,14:35:30,14:36:02,32.4,target,10.0,195.0
2026-06-23,short,14:36:15,14:36:18,3.5,stop,-5.0,-105.0
2026-06-23,long,14:36:30,14:36:45,15.0,jev,-3.25,-70.0
2026-06-23,short,14:36:45,14:37:00,15.0,jev,-1.0,-25.0
2026-06-23,long,14:37:00,14:37:11,10.8,stop,-5.0,-105.0
2026-06-23,short,14:37:15,14:37:30,15.0,jev,-3.0,-65.0
2026-06-23,long,14:37:30,14:37:42,12.0,stop,-5.0,-105.0
2026-06-23,short,14:37:45,14:39:03,78.0,target,10.0,195.0
2026-06-23,short,14:39:15,14:39:21,6.0,stop,-5.0,-105.0
2026-06-23,short,14:39:30,14:40:00,30.1,jev,0.25,0.0
2026-06-23,long,14:40:00,14:40:05,5.5,stop,-5.0,-105.0
2026-06-23,short,14:40:15,14:40:55,40.1,target,10.0,195.0
2026-06-23,short,14:41:00,14:41:02,1.8,stop,-5.0,-105.0
2026-06-23,long,14:41:15,14:41:30,15.0,jev,1.5,25.0
2026-06-23,short,14:41:30,14:41:32,1.8,stop,-5.0,-105.0
2026-06-23,long,14:41:45,14:41:48,3.2,stop,-5.0,-105.0
2026-06-23,short,14:42:00,14:42:20,20.0,target,10.0,195.0
2026-06-23,short,14:42:30,14:42:46,16.5,target,10.0,195.0
2026-06-23,short,14:43:00,14:43:05,5.4,stop,-5.0,-105.0
2026-06-23,long,14:43:15,14:43:18,3.3,stop,-5.0,-105.0
2026-06-23,short,14:43:30,14:43:39,9.5,target,10.0,195.0
2026-06-23,short,14:43:45,14:44:15,30.0,jev,3.0,55.0
2026-06-23,long,14:44:15,14:44:19,3.8,stop,-5.0,-105.0
2026-06-23,short,14:44:30,14:44:45,14.9,jev,-2.5,-55.0
2026-06-23,long,14:44:45,14:44:52,7.0,stop,-5.0,-105.0
2026-06-23,short,14:45:00,14:45:02,2.2,stop,-5.0,-105.0
2026-06-23,short,14:45:15,14:45:50,35.5,target,10.0,195.0
2026-06-23,short,14:46:00,14:46:02,2.6,stop,-5.0,-105.0
2026-06-23,short,14:46:15,14:46:23,8.3,stop,-5.0,-105.0
2026-06-23,long,14:46:30,14:46:34,4.0,stop,-5.0,-105.0
2026-06-23,short,14:46:45,14:47:45,60.0,jev,-0.25,-10.0
2026-06-23,long,14:47:45,14:47:49,3.8,stop,-5.0,-105.0
2026-06-23,short,14:48:00,14:48:02,1.8,stop,-5.0,-105.0
2026-06-23,long,14:48:15,14:48:15,0.7,stop,-5.0,-105.0
2026-06-23,long,14:48:30,14:48:40,10.7,target,10.0,195.0
2026-06-23,long,14:48:45,14:49:15,30.0,jev,-3.25,-70.0
2026-06-23,short,14:49:15,14:49:18,3.2,stop,-5.0,-105.0
2026-06-23,long,14:49:30,14:49:37,7.7,stop,-5.0,-105.0
2026-06-23,short,14:49:45,14:49:56,11.6,stop,-5.0,-105.0
2026-06-23,long,14:50:00,14:50:07,7.1,target,10.0,195.0
2026-06-23,long,14:50:15,14:50:16,1.4,stop,-5.0,-105.0
2026-06-23,long,14:50:30,14:50:33,3.6,stop,-5.0,-105.0
2026-06-23,long,14:50:45,14:51:00,15.6,stop,-5.0,-105.0
2026-06-23,short,14:51:15,14:51:16,1.4,stop,-5.25,-110.0
2026-06-23,long,14:51:30,14:51:35,5.7,stop,-5.0,-105.0
2026-06-23,long,14:51:45,14:51:48,3.1,stop,-5.0,-105.0
2026-06-23,short,14:52:00,14:52:03,3.4,stop,-5.0,-105.0
2026-06-23,short,14:52:15,14:52:39,24.7,target,10.0,195.0
2026-06-23,short,14:52:45,14:53:02,17.4,stop,-5.0,-105.0
2026-06-23,short,14:53:15,14:53:26,10.8,stop,-5.0,-105.0
2026-06-23,short,14:53:30,14:53:39,9.4,target,10.0,195.0
2026-06-23,short,14:53:45,14:54:02,16.9,target,10.0,195.0
2026-06-23,short,14:54:15,14:54:45,30.0,jev,-0.75,-20.0
2026-06-23,long,14:54:45,14:54:52,7.0,target,10.0,195.0
2026-06-23,long,14:55:00,14:55:07,7.4,stop,-5.0,-105.0
2026-06-23,short,14:55:15,14:55:30,15.0,jev,4.25,80.0
2026-06-23,long,14:55:30,14:56:00,30.0,jev,2.5,45.0
2026-06-23,short,14:56:00,14:56:01,1.4,stop,-5.0,-105.0
2026-06-23,short,14:56:15,14:56:21,6.5,stop,-5.0,-105.0
2026-06-23,long,14:56:30,14:56:39,9.4,stop,-5.0,-105.0
2026-06-23,short,14:56:45,14:56:48,3.5,stop,-5.0,-105.0
2026-06-23,short,14:57:00,14:57:02,2.2,stop,-5.0,-105.0
2026-06-23,long,14:57:15,14:57:27,12.6,stop,-5.0,-105.0
2026-06-23,short,14:57:30,14:57:41,11.7,stop,-5.0,-105.0
2026-06-23,long,14:57:45,14:58:10,25.4,stop,-5.0,-105.0
2026-06-23,short,14:58:15,14:58:16,1.4,stop,-5.0,-105.0
2026-06-23,long,14:58:30,14:58:49,18.9,target,10.0,195.0
2026-06-23,long,14:59:00,14:59:19,19.4,target,10.0,195.0
2026-06-23,long,14:59:30,14:59:38,8.2,stop,-5.0,-105.0
2026-06-23,short,14:59:45,14:59:49,4.6,target,10.0,195.0
2026-06-23,short,15:00:00,15:00:03,3.0,target,10.0,195.0
2026-06-23,short,15:00:15,15:00:16,1.2,stop,-5.0,-105.0
2026-06-23,long,15:00:30,15:00:36,6.2,target,10.0,195.0
2026-06-23,long,15:00:45,15:00:51,6.3,stop,-5.0,-105.0
2026-06-23,long,15:01:00,15:01:08,8.4,target,10.0,195.0
2026-06-23,long,15:01:15,15:01:16,1.0,stop,-5.0,-105.0
2026-06-23,long,15:01:30,15:01:32,2.2,target,10.0,195.0
2026-06-23,long,15:01:45,15:01:46,1.0,target,10.0,195.0
2026-06-23,long,15:02:00,15:02:06,6.0,stop,-5.0,-105.0
2026-06-23,short,15:02:15,15:02:28,13.6,stop,-5.0,-105.0
2026-06-23,long,15:02:30,15:02:33,3.5,stop,-5.0,-105.0
2026-06-23,short,15:02:45,15:02:50,5.6,stop,-5.0,-105.0
2026-06-23,long,15:03:00,15:03:12,12.0,target,10.0,195.0
2026-06-23,long,15:03:15,15:03:24,8.8,stop,-5.0,-105.0
2026-06-23,long,15:03:30,15:03:37,7.4,stop,-5.0,-105.0
2026-06-23,short,15:03:45,15:03:49,4.0,stop,-5.0,-105.0
2026-06-23,long,15:04:00,15:04:05,5.3,stop,-5.25,-110.0
2026-06-23,long,15:04:15,15:04:18,3.3,stop,-5.0,-105.0
2026-06-23,long,15:04:30,15:04:32,2.1,stop,-5.0,-105.0
2026-06-23,long,15:04:45,15:05:04,18.9,target,10.0,195.0
2026-06-23,long,15:05:15,15:05:26,10.9,target,10.0,195.0
2026-06-23,long,15:05:30,15:05:32,2.0,stop,-5.0,-105.0
2026-06-23,short,15:05:45,15:05:49,4.5,target,10.0,195.0
2026-06-23,long,15:06:00,15:06:02,2.3,stop,-5.0,-105.0
2026-06-23,short,15:06:15,15:06:24,9.6,stop,-5.0,-105.0
2026-06-23,short,15:06:30,15:06:38,8.5,target,10.0,195.0
2026-06-23,short,15:06:45,15:06:50,5.3,target,10.0,195.0
2026-06-23,short,15:07:00,15:07:00,0.6,stop,-5.0,-105.0
2026-06-23,short,15:07:15,15:07:21,6.6,stop,-5.25,-110.0
2026-06-23,long,15:07:30,15:07:31,0.8,stop,-5.0,-105.0
2026-06-23,short,15:07:45,15:08:02,17.1,stop,-5.25,-110.0
2026-06-23,short,15:08:15,15:08:33,18.0,target,10.0,195.0
2026-06-23,long,15:08:45,15:08:47,1.8,stop,-5.25,-110.0
2026-06-23,short,15:09:00,15:09:01,1.5,stop,-5.25,-110.0
2026-06-23,long,15:09:15,15:09:23,8.3,stop,-5.0,-105.0
2026-06-23,short,15:09:30,15:09:31,1.0,stop,-5.0,-105.0
2026-06-23,long,15:09:45,15:09:45,0.4,stop,-5.0,-105.0
2026-06-23,long,15:10:00,15:10:04,4.2,stop,-5.0,-105.0
2026-06-23,long,15:10:15,15:10:18,2.8,stop,-5.0,-105.0
2026-06-23,short,15:10:30,15:10:49,19.1,stop,-5.0,-105.0
2026-06-23,short,15:11:00,15:11:02,2.0,stop,-5.0,-105.0
2026-06-23,long,15:11:15,15:11:18,3.4,target,10.0,195.0
2026-06-23,long,15:11:30,15:11:32,2.5,stop,-5.0,-105.0
2026-06-23,long,15:11:45,15:11:46,1.1,stop,-5.0,-105.0
2026-06-23,long,15:12:00,15:12:02,2.4,stop,-5.0,-105.0
2026-06-23,short,15:12:15,15:12:17,1.9,stop,-5.0,-105.0
2026-06-23,long,15:12:30,15:12:49,18.8,target,10.0,195.0
2026-06-23,long,15:13:00,15:13:00,0.4,stop,-5.0,-105.0
2026-06-23,short,15:13:15,15:13:19,4.1,target,10.0,195.0
2026-06-23,short,15:13:30,15:13:41,11.3,stop,-5.25,-110.0
2026-06-23,short,15:13:45,15:13:49,4.0,stop,-5.0,-105.0
2026-06-23,short,15:14:00,15:14:04,4.4,stop,-5.0,-105.0
2026-06-23,long,15:14:15,15:14:45,30.2,jev,-2.25,-50.0
2026-06-23,short,15:14:45,15:15:10,25.6,stop,-5.0,-105.0
2026-06-23,long,15:15:15,15:15:19,3.8,target,10.0,195.0
2026-06-23,long,15:15:30,15:15:31,1.2,stop,-5.0,-105.0
2026-06-23,short,15:15:45,15:16:01,15.8,stop,-5.0,-105.0
2026-06-23,short,15:16:15,15:16:17,1.9,stop,-5.0,-105.0
